title,skills_desc,application_url,description
Certified Nursing Assistant (CNA),nan,https://lifecarecareers.hcshiring.com/jobs/T1y4bMOAr0aTRRUjOOfiLQ,position details employment status full timesalary 21 00 24 37 hourlyshift evening life care center of south hill in puyallup washington is proud to have earned the 2020 bronze national quality award from the american health care association and national center for assisted living the award honors nursing homes across the nation for their excellence and commitment to improving quality of care for seniors it is a mark of distinction reflecting on each of our associates and their spirit of teamwork we are always looking for great talent to join our award winning team as we reach for new heights current available schedule day 6am 2pm evenings 2pm 10pm noc 10pm 6am compensation 21 00 24 37 hour doe on years of experience shift differential for evening shift 1 00 full time employment and only licensed cna s only life care center of south hill has been listed in the u s news and world report best nursing homes due to our excellent standing and ratings for the past several years our resort style state of the art facility opened up in 2016 and specializes in short term skilled care come and join a great team in our 5 star cms rated facility we are offering competitive salaries based on experience and looking for committed compassionate and dynamic individuals to come and join our great team come and grow with us we are affiliated with life care centers of america which is a privately owned 47 year industry leader in healthcare with more than 200 locations across the u s we are currently seeking a qualified certified nursing assistant c n a to add to our team of professionals we believe that every job in our company plays a vital role in our continued growth and commitment to provide quality patient care we believe in providing our associates with opportunities to help them reach their maximum potential through working with strong multidisciplinary teams we invite you to come and join our growing team as an important member of our interdisciplinary team the cna is responsible for providing routine daily nursing care to assigned patients in accordance with all applicable laws regulations and life care standards your daily responsibilities will be to deliver direct care to patients bathing feeding grooming toileting etc as directed join our team and help make a difference in the lives of our patients and family members education experience and licensure requirements high school diploma or equivalentgraduate of a state approved cna programcurrently registered licensed in applicable state must maintain an active license in good standing throughout employment one 1 year skilled nursing experience preferredcpr certification upon hire or obtain during orientation cpr certification must remain current during employment specific job requirements make independent decisions when circumstances warrant such actionexhibit excellent customer service and a positive attitude towards patientscommunicate and function productively on an interdisciplinary teammaintain professional working relationships with all associates vendors etc an equal opportunity employer
Senior Full Stack Developer,nan,,key requirements hands on software development experience with angular javascript and typescript experience with creating backend rest services using node typescript java spring and advanced sql and aws cloud services including ec2 ecs sqs s3 lambda api gateway and rdsproficient in unit testingexperience with complex scalable distributed systems and high volume transaction applications proactively seeks opportunities to enhance application quality and performance unafraid to advocate for innovative solutions and improvements solid familiarity with agile delivery frameworks including scrum or kanbanexperience with jenkins git maven confluence and jira is a plusexperience with other modern ul frameworks like react or vue is a plusexperience with creating graphql services using typescript java is a plusideally we are looking for an individual with experience in serverless architectures particularly with aw lambda and proficiency in typescript while a strong background in node js is highly desirable for backend development we are open to considering candidates who are exceptionally skilled in typescript and have experience with serverless in other programming languages like java or python we also highly value soft skills such as dependability and the ability to take ownership of their work
Account Manager - Cardiometabolic (diagnostics) - based in PA,nan,https://www.jobs.abbott/us/en/job/ABLAUS31085581ENUSEXTERNAL/Account-Manager-Cardiometabolic-diagnostics-based-in-PA?utm_source=linkedin&utm_medium=phenom-feeds,abbott is a global healthcare leader that helps people live more fully at all stages of life our portfolio of life changing technologies spans the spectrum of healthcare with leading businesses and products in diagnostics medical devices nutritionals and branded generic medicines our 114 000 colleagues serve people in more than 160 countries about abbott abbott is a global healthcare leader creating breakthrough science to improve people s health we re always looking towards the future anticipating changes in medical science and technology working at abbott at abbott you can do work that matters grow and learn care for yourself and family be your true self and live a full life you ll also have access to career development with an international company where you can grow the career you dream of free medical coverage for employees via the health investment plan hip ppoan excellent retirement savings plan with high employer contributiontuition reimbursement the freedom 2 save student debt program and freeu education benefit an affordable and convenient path to getting a bachelor s degree a company recognized as a great place to work in dozens of countries around the world and named one of the most admired companies in the world by fortune a company that is recognized as one of the best big companies to work for as well as a best place to work for diversity working mothers female executives and scientists the opportunity abbott s cardiometabolic sales team has an exciting opportunity for an account executive role within our rapid diagnostics division the ideal candidate will be based in philadelphia but ok to live anywhere in the geography southern new jersey eastern pennsylvania philadelphia delaware eastern shore maryland or baltimore maryland what you ll do identify sales opportunities and capitalize on them establish develop and maintain the business and client relationships strategic development of poc sales opportunities implement sales marketing and national account programs as directed by management build and maintain a strong competitive product knowledgecontribute to the region s growth by understanding the ae s objectives and goalsassist with the management of complex sales by providing technical expertisemeet established sales goals and objectives while maintaining the territory budget plan coordinate and manage the sales performance of the distributor sales force s in the assigned territory train and develop these sales force s to establish and maintain the ability to effectively represent abbott s products in the marketplace support distribution partners in the sale of products including training sales meetings technical expertise and marketing support of the abbott product lines and distributor private branded products act as a resource for contract negotiation pricing proposal bid preparation and all customer follow up identify customer issues and resolve sales related difficulties manage opportunities forecasting customer pricing and contracts as well as sales company initiatives and campaigns through salesforce combuild a comprehensive territory business plan and report out progress in quarterly business reviews with management required education and experience you ll bring ba bs in sales marketing business management or life science6 years of experience in medical diagnostics or business to business sales understanding and experience working with distribution partnersstrong knowledge of sales techniques and methodologiesdemonstrated ability in execution of sales strategiesproven successful poc capital equipment sales experience participants who complete a short wellness assessment qualify for free coverage in our hip ppo medical plan free coverage applies in the next calendar year learn more about our health and wellness benefits which provide the security to help you and your family live full lives www abbottbenefits com follow your career aspirations to abbott for diverse opportunities with a company that can help you build your future and live your best life abbott is an equal opportunity employer committed to employee diversity connect with us at www abbott com on facebook at www facebook com abbott and on twitter abbottnews and abbottglobal the base pay for this position is 64 000 00 128 000 00 in specific locations the pay range may vary from the range posted
Regional Sales Manager (Northeastern US),nan,https://kwik-lok.breezy.hr/p/664009f9dbc7-regional-sales-manager-n-america-northeast-region,regional sales manager northeast united states role overview the northwestern regional sales manager rsm at kwik lok is responsible for driving revenue growth within the following north american states connecticut delaware maine maryland massachusetts new hampshire new jersey new york pennsylvania rhode island vermont virginia and west virginia the rsm will manage existing accounts and cultivate new business opportunities this role involves developing and executing sales strategies building and maintaining customer relationships and achieving sales targets of existing and new solutions the rsm plays a critical role in expanding the company s market presence increasing revenue and ensuring customer satisfaction within the assigned region success in this role requires a proactive and results oriented approach to sales business development mindset and relationship management focus company overview kwik lok has been producing a product that most of us have depended on our entire lives the clip that closes your produce and loaves of bread to keep it fresh kwik lok is an innovation and engineering organization focused on sustainability we are in the business of hacking the package innovating clever advantages in packaging to get food to the table faster fresher and safer while reducing waste kwik lok is a 3rd generation family owned company headquartered in yakima wa with 8 offices and 6 plants worldwide we are a mid size company delivering our product to almost 100 countries we know that people are looking for jobs that are a better fit in their lives right now here are a few pieces of information that might help you decide whether kwik lok is a good fit for you inclusive culture kwik lok is committed to fostering cultivating and preserving a culture of diversity and inclusion to increase the success of our employees and customers we want every person to feel part of the team our team members come from a variety of backgrounds and we see value in learning from each other s different perspectives innovation our goal is to create an environment where employees can be curious and express ideas to identify new and better solutions we want every employee to be engaged in improving our workplace and work processes innovation isn t just for engineers meaningful work we know that every job has things you ll love doing and things you ll love less our goal is to engage our employees in our vision for the company and provide them with meaningful work where they can learn grow and be part of solutions that improve the lives of our customers and their communities while protecting the health of our planet no matter what your job entails we want you to know that what you do makes a difference impacting the community and environment kwik lok takes corporate social responsibility seriously and we appreciate that our position in the industry gives us the ability to help do good in so many areas we are committed to providing educational and economic opportunity improving well being fostering innovation and protecting the planet you can read our most recent sustainability report on our website work life balance at kwik lok we know that in order for you to be your best at work you need time to recharge as well whenever possible we offer flexibility in start stop times and even opportunities for remote work we want you to be energized at work and when the day is done we want you to go home and enjoy your personal life position responsibilities and results sales strategy developmentdevelop and implement comprehensive sales strategies for connecticut delaware maine maryland massachusetts new hampshire new jersey new york pennsylvania rhode island vermont virginia and west virginia to achieve revenue and growth targets continuously assess market trends customer needs and competition to adjust strategies accordingly account managementbuild and maintain strong relationships with existing customers understand their needs provide exceptional customer service and identify opportunities for upselling or cross selling products and services new business developmentidentify and target potential new customers and markets within the region with commercialized and new solutions generate leads conduct market research and develop a pipeline of prospective clients initiate contact present solutions and negotiate contracts to acquire new business sales presentationprepare and deliver persuasive sales presentations proposals and product demonstrations to both existing and potential clients clearly communicate the value proposition of the kwik lok s company commercial and potential solutions sales forecastingpartner with sales operations analyst to develop accurate monthly and quarterly sales forecasts while regularly reporting on progress towards sales goals monitor key performance indicators kpis and take corrective actions as needed to ensure targets are met or exceeded networking and relationship buildingattend industry events trade shows and networking opportunities to expand professional connections and promote the company s brand and products market analysisconduct thorough market analysis to identify emerging trends customer preferences and competitive threats use this information to refine sales strategies and make data driven decisions contract negotiationnegotiate pricing terms and contracts with customers to maximize profitability while ensuring customer satisfaction sales reporting with customer relationship management crm utilize crm tool for opportunity and quote management purposes prepare and submit regular sales reports including sales activity revenue and pipeline updates to the cro through crm tool required qualificationsbachelor s degree in business sales marketing or a related field proven track record of successful sales experience including a history of meeting or exceeding sales targets excellent communication negotiation and presentation skills strong analytical and problem solving abilities ability to work independently and self motivated to drive results proficiency in crm software and sales related tools knowledge of the industry and market trends within the region willingness to travel as needed within the designated region about 30 50 of the time must be able to pass pre employment drug and background screeningsmust be legally authorized to work in the u s without sponsorship key skills and attributesapproaches work with an innovative spirit constantly focused on continual improvementpossesses advanced and concise communication skills writing listening verbal ability to work independently and self motivated to drive results can collaborate and work effectively across functional linesstrive to manage multiple deadlines and priorities within specified time frames all the details annual salary range commensurate with experience 65 000 to 98 000insurance benefits medical dental vision prescription life and disability insurance plans 60 day waiting period retirement benefits 401k plan with company match 90 day waiting period restrictions apply paid time off 90 day waiting period prorated for first year vacation 120 hours a year with increases based on years of serviceholidays 70 hours a year 8 5 days 1 floating holiday new year s day memorial day independence day labor day thanksgiving day and the friday following half day on christmas eve and christmas daysick leave 40 hours a year accrued at 1 hour per 40 hours worked for hourly employees salary employees prorated for first yearother compensation eligible for commissions program may be eligible for annual performance bonuses schedule the rsm will be expected to manage their own schedule effectively location remotetelework expectations must be available and responsive during scheduled work hours and possess a physical workspace that facilitates telework internet access ability to focus on work during work hours if others are present in the home successfully complete telework environment safety assessments on a regular basis employees must use video during virtual meetings to support non verbal communication continuity kwik lok will supply the employee with all necessary technology to perform work travel requirements approximately 30 50 work environment occasionally bends squats reaches kneels and may lift up to 40 lbs on occasion constantly seeing hearing talking to learn more about kwik lok visit www kwiklok com kwik lok is an equal employment opportunity eeo employer we strongly encourage people from underrepresented groups to apply we value a diverse workforce and provide equal opportunities to all employees and qualified applicants without regard to race color religion national origin gender identity sexual orientation age disability marital status genetic information or status as a veteran reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of the job or participate in the application and interview process to view labor compliance information click here
Property Maintenance | Mental Health,nan,https://www.click2apply.net/PLdaA5uAjJ12gTM12hpy8k,description cec a subsidiary 501c3 is looking for a full time property maintenance technician the property maintenance technician will assist in maintaining and managing the upkeep of the properties in essex county this role will perform tasks that will assure that cec properties are kept occupied safe clean and in a well maintained condition this includes but not limited to monitoring the conditions of all properties performing upkeep and repairs as needed performing preventative maintenance clean trash and debris from interior exterior as needed garden yard upkeep etc full time 40 hours p w benefit eligible including 6 weeks pto 11 holidays hourly rate 22 00 requirements references will be required at least 2 years working in a similar role or other relevant work experience must have skills to do plumbing electric carpentry and painting must be able to work independently be reliable and have basic computer skills including smartphones and tablets high school diploma ged ability to work with individuals with mental illness in a caring and professional manner bilingual skills are a plus valid nj driver s license with acceptable driving record pm22 pi239177503
7th Grade Math and Science Teacher - Founders Classical Academy of Conroe,nan,https://responsiveed.tedk12.com/hire/ViewJob.aspx?JobID=10649,school summary founders classical academy follows a democratic classical model using core knowledge curriculum based in classical liberal arts and sciences with a strong emphasis on civic education position summary the teacher will facilitate learning for responsiveed students in order to fulfill their potential for intellectual emotional physical and social growth the teacher enables and works with parents and students to develop competencies and skills to function successfully in society they provide leadership motivation and rigorous education for all students qualifications education certification must meet one of the following texas state teacher s certification in subject to be taughtbachelor s degree with a passing score on an excet texes exam in grade level or content area to be taughtbachelor s degree with an academic minor or major minimum of 18 credit hours in the core academic subject areas to be taughtbachelor s degree and documented successful relevant work experience in the content area to be taught established by at least one year of employment in a specific field or occupation that required the educator to demonstrate knowledge or skill in the content area this is to be supported by a professional letter of recommendation from the educator s employer or supervisor preferred experience experience teaching in a classical school or experience teaching with classical traditional methods required knowledge skills abilities ksas and dispositions passion for studentspassion for and strong knowledge of the instructional academic contentability to model virtue teach virtue through the curriculum and cultivate habits of virtue in studentsunderstanding of and passion for classical educationability to learn and implement classical teaching curricula and methodsability to maintain a classroom of approximately 20 27 studentsability and patience to work interactively with studentsability to understand the academic needs of studentsstrong organizational time management communication and interpersonal skillsability to develop and maintain effective working relationshipsability to communicate with all levels of students their parents the community peers campus administration superintendents and corporate staffability to interpret policy procedures and student data such as diagnostic test results state assessments scoring and grade point averageability to transition with changesexcellent verbal and written communication skillsability to manage multiple priorities effectivelyability to travel as necessary i e field trips class trips trainings etc computer literacy responsibilities and duties prepare effective lessons instruct and motivate students in all course study utilizing classical traditional methods of instruction assign lessons and correct classwork and homework in a timely manner administer formative and summative assessments to evaluate student progress record results and issue reports to inform parents of progress provide academic interventions for struggling students maintain student grades and student parent communication via the school s online grading and communication tool maintain discipline in the classroom maintain a classroom that is conducive to learning safe attractive and stimulates a spirit of inquiry set a good housekeeping example in the classroom and encourage students to follow this example regularly communicate with students and parents to discuss student progress positive and negative participate in required faculty and professional meetings educational conferences and teacher training workshops inspire praise and correct students with consistency care and interest to encourage academic success and promote virtue work closely with special education and 504 teachers to ensure accommodations are implemented perform duties such as sponsoring one or more activities or student organizations assisting students in selecting courses of study and counseling students in adjustment and academic problems actively participate in marketing and student recruiting activities as necessary perform special projects during and after school hours and other duties as assigned after school hours may include but are not limited to tutoring morning and afternoon student drop off and pick up duty pageants and award ceremonies read and comply with the res employee handbook the res student parent handbook the founders classical academy campus handbook and other res founders manuals and procedures documents perform all other duties as assigned equipment used all equipment required to perform duties and tasks were previously described physical environmental factors the physical demands are representative of those that must be met by an employee to successfully perform the essential functions of this job reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions responsive education solutions considers applicants for all positions without regards to race color national origin age religion sex marital status veteran or military status disability or any other legally protected status being authorized to work in the u s is a precondition of employment responsiveed is an equal opportunity employer salary please use the link to find more information on responsiveed teacher salary https responsiveed com careers teacher salary
Quality Assurance Design Specialist,nan,https://recruiting.paylocity.com/recruiting/jobs/Details/2393266/Engrain/Quality-Assurance-Design-Specialist,engrain has transformed the way people find lease and manage properties engrain provides a holistic suite of mapping solutions built specifically for the real estate industry to provide stunning unit level map visualizations that integrate with countless websites and property tech applications our revolutionary unit level map data and interactive visuals within our sightmap touchtour and asset intelligence product lines allow both property owners and prospective renters to better ensure occupancy and drive revenue as a quality assurance design specialist you will have the opportunity to be a part of engrain s growth and dynamic environment quality assurance design specialists are responsible for reviewing engrain s interactive mapping products prior to customer delivery to identify technical or design errors and ensuring all products adhere to engrain s high quality of design standards this role will be responsible for filling qa reports identifying and revising errors and verifying that the correct deliverables are in place before they re sent to a customer the quality assurance design specialist will be part of a 5 7 employee team and report directly to the quality assurance supervisor what you ll do ensure information accuracy of interactive property mapsmake critical design decisions and revisions to maintain a high quality of visual design and adhere to existing graphical standards and customer requirementsuse adobe illustrator to edit map filesdemonstrate flexibility adaptability balance and well rounded knowledge based within facets of the assigned rolebe part of a communication driven role that will frequently interact with many internal roles within the departmentestablish quality reports to contribute to tracking performance metrics of compliance to standardsidentify inconsistencies or flaws within the processes and standards of the department that could cause common errors lost productivity or lower production qualityinfluence internal and customer decision makers to clear implementation issues and roadblocksuse adobe workfront to perform tasks fill out quality reports and communicate across departments about project specifics what you offer us bachelor s degree or equivalent experience1 3 years of relevant design experiencea high degree of comfort and demonstrated proficiency with technologydetail oriented with strong verbal and written skills high learning agility and ability to operate in a dynamic and sometimes ambiguous environment ability to easily adjust to change team player with a high degree of professionalism what we offer you salary disclosure for colorado base salary of 26 hour final offer amount is determined by factors including years and depth of candidate s experience certifications and skill set alignment to the job requirementsvarious health dental and vision insurance plans to choose fromup to 12 weeks of paid parental leave up to 18 days annually of pto 10 holidays per yeardog friendly office401k match up to 4 percentannual reimbursement for learning growth opportunities through our grow450 programon site amenities include a professional fitness center flexible modern workspace coffee bar happy hour taps team member lounge all qualified applicants will receive consideration for employment without regard to race color sex sexual orientation gender identity religion national origin disability veteran status age marital status pregnancy genetic information or other legally protected status
Infant/Toddler/Twos Teacher,nan,https://careers.learningcaregroup.com/search/jobdetails/infanttoddlertwos-teacher/416f45c5-f52d-42bc-bd49-5ef9df247279,join a strong community where all we do is care for the children and families we serve every day as well as for our dedicated team members our people are our best asset we listen and we know what you re looking for you want benefits we support you with a minimum 50 childcare discount immediate access to benefits innovative health programs 401 k company match and much more you want balance we offer flexible schedules that work for you no nights or weekends the ability to bring your children to work with you and paid time off you want opportunity we invest in your future with ongoing training tuition reimbursement credential assistance and our unique master teacher program you want recognition we provide a positive fun workplace where employees are appreciated we are hiring for infant assistant toddler assistant twos positions this is more than just a daycare job it s a journey where you learn grow thrive and play every day being a teacher at a child care center is something special we re hiring and we want difference makers who will inspire children to become lifelong learners as a teacher you are caring follow all licensing guidelines and company standards to ensure the daily care of every child in your classroom engaged develop your ability to accurately observe assess and plan for children as well as effectively communicate with families knowledgeable complete extensive training that provides insight on child care preschool and development topics creative implement our proprietary curriculum while creating fun interactive learning experiences for the children we want energetic dependable passionate individuals who are at least 18 and have experience in a licensed childcare center or related field the ability to meet state requirements for education and our center requirements able to work indoors or outdoors and engage in physical activity with children learning care group is an equal opportunity employer and will not discriminate against an employee or applicant based on race color religion national origin or ancestry sex age physical or mental disability veteran or military status genetic information sexual orientation gender identity gender expression marital status or any other protected status under federal state or local law
DevOps Engineer,nan,https://www2.jobdiva.com/candidates/myjobs/openjob_outside.jsp?a=igjdnwlupnizy5oj4o4anqqe6564dk0883vo6g0xnslizbexg8ikt3j0ryfl9q0w&from=COMP&id=21428613&SearchString=&StatesString=,a financial services firm is looking for a devops engineer to join their team in new york ny compensation 170 190k responsibilities bull design implementation maintenance and ongoing support of microsoft enterprise github bull design implementation maintenance and ongoing support of sonatype and sonarqube cloud migration bull design implementation maintenance and ongoi
Process Engineer,nan,https://mosaic.wd5.myworkdayjobs.com/mosaic/job/US---Uncle-Sam-LA/Process-Engineer_52346,the mosaic company nyse mos is the world s leading integrated producer of concentrated phosphate and potash two of the three most important nutrients in agriculture we employ more than 13 000 people in six countries to serve farmers all over the world our headquarters is in lithia florida with operations throughout north america u s canada and south america where will you work onsite uncle sam plant louisiana are you our next process engineer provides technical support primarily to plant operations groups and responsible for front end engineering development of capital projects routine active contributor to mosaic cross site and or cross functional assignments and initiatives what will you do support current business initiatives typical initiatives include specific problem solving projects or improvement activities involving multiple sites provide front end engineering development of capital projects including planning identifying business objectives identifying and evaluating viable options preliminary design development and preliminary economic and risk mitigation evaluation responsible for commissioning and start up support for assigned projects provide plant process engineering support to operations group including plant optimization troubleshooting efficiency improvement problem solving and problem prevention responsible for leveraging ideas and assistance including resources across plant sites ensure site safety and environmental standards are being followed through safety audits risk assessments and housekeeping tours what do you need for this role bachelor s degree required with a major in chemical engineering chemical industry experience preferredengineering experiencephosphates industry experience preferred process control systems knowledge minitab experience preferred distributed control system dcs experience preferredobjective interface systems ois experience preferredfertilizer industry knowledge engineer i 0 2 years of co op or internship experience engineer ii 2 years of related experience in engineering industrial project experience or engineering project management engineer iii 4 years of related experience in engineering industrial project experience or engineering project management engineer sr 8 years or more of related experience in engineering industrial project experience or engineering project management
In-Store Shopper - Part Time Seasonal,nan,https://wholefoods.wd5.myworkdayjobs.com/wholefoods/job/OR-Tigard---Bridgeport/In-Store-Shopper---Part-Time-Seasonal_Req-20240401179?source=BA_LinkedInSponsored,at whole foods market we re committed to providing record setting grocery delivery services to our prime now customers this is a fast growing program and candidates who are passionate about our quality products and great customer service will be a great fit we think you ll agree that it s a great time to join teamwfm as an in store shopper you ll work on the store support team supporting prime now customer orders preparing them for delivery and or pickup while our offerings will continue to evolve you ll shop throughout our store for everyday goods including food household items and so much more having a flexible schedule is key to meeting our customer s needs we especially need team members who like to work on saturday and sunday our busiest times of the week shoppers with the ability to work nights weekends and holidays are preferred your step by step guide to applying for this in store shopper online orders role apply read through the job description below if interested complete the application process offer our team will review your application and assessment if you are selected you will receive an offer letter via email make sure to accept your offer right away the offer letter will contain information regarding your start date availability requirements team members receive their schedule up to 3 weeks in advanceaverage shifts are 4 8 hours long job requirements comfort using handheld technology mobile device to fulfill ordersfulfills online orders efficiently accurately and with a sense of urgencydetail oriented paying attention to product and order accuracyeagerness to learn product knowledge customer service standards and store operationsability to keep staging area organized and free of clutterwillingness to work in other departments of the store as required e g customer service cashier grocery etc basic qualifications must be at least 18 years oldability to read and speak basic englishhigh school diploma or equivalent diploma physical requirements working conditions must be able to lift 50 pounds in an 8 hour work day standing walking 6 8 hours sitting 1 4 hours hand use single grasping fine manipulation pushing and pulling work requires the following motions bending twisting squatting and reaching exposure to fda approved cleaning chemicals exposure to temperatures 90 degrees fahrenheit ability to work a flexible schedule including nights weekends and holidays as needed ability to use tools and equipment including box cutters electric pallet jacks and other heavy machinery may require use of ladders quick video of a day in the life of an in store shopper at whole foods market day in the life whole foods market shopper new entry level team members who successfully complete their first 90 days of employment and who remain actively employed in an eligible role may be eligible for a base rate increase after their 90 day anniversary
CNC Operator - VTC Machining (E Shift),nan,https://careers.hitachi.com/jobs/14078359-cnc-operator-vtc-machining-e-shift,description hitachi astemo has been synonymous with safety quality growth and continuous improvement adhering to these core values has enabled us to succeed as a tier 1 supplier of world class products to the global automotive market with over 3 600 hard working employees in three u s manufacturing plants we are dedicated to ensuring the expectations of our first rate automotive customers are consistently exceeded we are currently seeking candidates to work at our monroe georgia location we need cnc operators who are comfortable with a high speed production process as well as attention to detail to ensure that a quality product is produced for our customers individuals hired for this position must be able and available to train and work on available shifts and be willing and able to work mandatory overtime shift s available for this position e shift monday through thursday 7 30 p m to 5 30 a m essential functions work according to operator instruction sheets and or verbal instructions to effectively perform operations check products and or component dimensions with use of various indicators and gauges as described in procedures or work instructions must be able to determine good or ng product assist in tool changes and changing of simple parts and fixtures visually and manually check for defects in product or workmanship where appropriate input data daily to maintain charts and reports to support manufacturing engineering quality material control and sales maintain clean and orderly work area utilizing the 5s policy in all aspects of processes procedures and daily activities in all processes and functions comply with work instructions and procedures to ensure manufacture of products which conform to ts16949 and iso14000 and customer quality standards must be aware of all hazardous conditions within a machining environment adhere to all safety rules and guidelines per the hitachi safety policy suggest and implement continuous improvement programs qualifications high school diploma or equivalent required preferred manufacturing industrial experience with preference in electronic mechanical equipment assembly or high speed equipment operation no experience necessary if current experience shows an ascending trend sufficient reading and writing ability to follow work order instructions and prepare simple production reports basic math skills sufficient manual dexterity to operate machines properly sufficient visual acuity corrected to read instructions operates machines and visually inspects parts products physical ability to do work requiring frequent stooping and bending physical strength sufficient to lift and carry 40 pounds frequently must have acceptable scores on pre employment assessments demonstrate ability to work in a team environment to achieve required takt and cycle times supervisory responsibilities none physical demands while performing the duties of this job the employee is frequently required to walk the employee occasionally is required to stand sit use hands to finger handle or feel objects tools or controls reach with hands and arms climb or balance stoop kneel crouch or crawl and talk or hear the employee must regularly lift and or move up to 10 pounds frequently lift and or move up to 35 pounds and occasionally lift and or move up to 50 pounds work environment work performed in a plant environment required to wear hat safety glasses and wear steel toe shoes while performing specific tasks or while in specific manufacturing areas incomplete submissions will not be considered since we only hire the best and want to maintain a safe and pleasant work environment for all final candidates are subject to drug screen and background checks hitachi is an equal opportunity employer m f d v equal opportunity employer eoe females minorities protected veterans individuals with disabilities if you need a reasonable accommodation to apply for a job at hitachi please send the nature of request and contact information to email protected queries other than accommodation requests will not be responded to
Overnight Team Member,nan,https://circlek.wd3.myworkdayjobs.com/CircleKStoreJobs/job/Store-2746253-Forest-Lake-MN/Overnight-Team-Member_R421115-1/apply,store 2746253 1208 w broadway forest lake minnesota 55025 availability shift days flexible availability customer service representative we want you to join our team as a customer service representative if you have the desire to be challenged work in a fast paced fun environment and to grow your career look no further as a customer service representative you will enjoy medical vision dental life insurance short long term disabilityflexible schedulesweekly payfull time or part timelarge stable employerfast career opportunitieswork with fun motivated peopletask varietypaid comprehensive training401k with a competitive company matchflexible spending health savings accountstuition reimbursement your key responsibilities you will greet customers run the register cashier make purchase suggestions and sometimes work with our food program there is never a dull moment as you will be working around the store inside and out in many different areas to help maintain our high standards for store appearance and provide fast and friendly service to our customers provide regular and predicable onsite attendance you will interact with many customers daily all while working with a fun energetic team accomplishing daily tasks around the store you are good at selling products to customersproviding excellent customer carecommunication and friendly conversationperforming at a quick pace while having funworking as part of a team to accomplish daily goalscoming up with great ideas to solve problemsthinking quickly and offering suggestions great if you have retail and customer service experiencesales associate or cashiering experiencehigh school diploma or equivalentmotivation to advance in your career willingness to learn and have fun physical requirements ability to stand and or walk for up to 8 hourslift and or carry up to 30 pounds from ground to overhead up to 30 minutes in a shiftoccasionally lift and or carry up to 60 pounds from ground to waist levelpush pull with arms up to a force of 20 poundsbend at the waist with some twisting up to one hour a shiftgrasp reach and manipulate objects with hands this handwork requires eye hand coordination and may require climbing a ladder to store and retrieve materials or place and remove signs circle k is an equal opportunity employer the company complies with the americans with disabilities act the ada and all state and local disability laws applicants with disabilities may be entitled to a reasonable accommodation under the terms of the ada and certain state or local laws as long as it does not impose an undue hardship on the company please inform the company s human resources representative if you need assistance completing any forms or to otherwise participate in the application process click below to review information about our company s use of the federal e verify program to check work eligibility in english in spanish
Licensed Mental Health Counselor,nan,https://www.click2apply.net/ngr4PaHGPkMwXCEpniyVNq,as a licensed mental health counselor with complete care you will be working with our trauma injury patients to help them overcome and manage different mental and emotional challenges their duties include meeting with patients to listen to their problems diagnosing their mental or emotional disorder and building treatment plans and coping strategies for the patient to follow licensed mental health counselor responsibilities perform initial evaluations of patient needs and develop customized treatment plans educate staff and patients on stress and trauma coping mechanisms provide individuals with the resources they need to reach personal goals monitor patient progress and modify their treatment plans as needed coordinate with social and medical agencies healthcare providers and community outreach programs to provide patients with needed services complete continuing education courses to maintain national certified counselor certification and stay up to date on the latest practices licensed mental health counselor requirements required education masters degree in mental health counseling5 years of experience with trauma patientsproficient in microsoft officeexcellent communication skillssalesforce and emr experience is a huge plusactive florida chiropractic licensure benefits monday friday schedule optional weekends available great competitive compensation higher than the median salary in central florida support from a group of seasoned professionals vacation time great hours comprehensive training course medical dental and vision insurance available uniform provided malpractice insurance covered history after witnessing a lack of proper assessment and support for patients that have been injured due to trauma we saw a dire need in the community for clinics and doctors who would provide excellent evaluation and treatment of their injuries and the support needed to guide them through the process this is what led to the family of practices that is complete care complete care consists of integrative physical medicine centers for imaging and interventional associates together they provide patients with immediate access to chiropractic care physiotherapy state of the art imaging interventional pain management and orthopedic specialists interventional associates ia was opened to provide expedient orthopedic evaluation and treatment that focuses on proper diagnosis and minimally invasive procedures including spine and extremity surgery our team includes an experienced spine surgeon extremity surgeon and interventional pain management specialists our trained medical assistants help patients during any recommended procedure while our case managers provide support and explanation of any questions and billing inquires future growth with 30 locations we serve patients in 10 counties throughout central florida complete care is building toward being the national platform for treating the injured in a fully integrated health system while continuing to maintain our unmatched patient centric pillars of ethics diligence and clinical expertise we look forward to continuing to serve our patients with the care they deserve pm20 powered by jazzhr pi239201846
